dataset=caltech256  classes=256  images=29780  master_seed=1234  ratios={'train': 0.7, 'val': 0.1, 'test': 0.2}
totals: test=5952  val=2971  train_pool=20857
train f10: s0=2196  s1=2196  s2=2196
train f25: s0=5309  s1=5309  s2=5309
train f50: s0=10487  s1=10487  s2=10487
train f100: s0=20857  s1=20857  s2=20857
skipped non-image files (1): 198.spider/RENAME2
assertions passed: class count, disjointness, nesting, existence

class                            n  train  val  test
001.ak47                        98     68   10    20
002.american-flag               97     68   10    19
003.backpack                   151    106   15    30
004.baseball-bat               127     89   13    25
005.baseball-glove             148    103   15    30
006.basketball-hoop             90     63    9    18
007.bat                        106     74   11    21
008.bathtub                    232    163   23    46
009.bear                       102     72   10    20
010.beer-mug                    94     66    9    19
011.billiards                  278    194   28    56
012.binoculars                 216    151   22    43
013.birdbath                    98     68   10    20
014.blimp                       86     60    9    17
015.bonsai-101                 122     86   12    24
016.boom-box                    91     64    9    18
017.bowling-ball               104     73   10    21
018.bowling-pin                101     71   10    20
019.boxing-glove               124     87   12    25
020.brain-101                   83     58    8    17
021.breadmaker                 142    100   14    28
022.buddha-101                  97     68   10    19
023.bulldozer                  110     77   11    22
024.butterfly                  112     79   11    22
025.cactus                     114     80   11    23
026.cake                       106     74   11    21
027.calculator                 100     70   10    20
028.camel                      110     77   11    22
029.cannon                     103     72   10    21
030.canoe                      104     73   10    21
031.car-tire                    90     63    9    18
032.cartman                    101     71   10    20
033.cd                         102     72   10    20
034.centipede                  100     70   10    20
035.cereal-box                  87     61    9    17
036.chandelier-101             106     74   11    21
037.chess-board                120     84   12    24
038.chimp                      110     77   11    22
039.chopsticks                  85     60    8    17
040.cockroach                  124     87   12    25
041.coffee-mug                  87     61    9    17
042.coffin                      87     61    9    17
043.coin                       124     87   12    25
044.comet                      121     85   12    24
045.computer-keyboard           85     60    8    17
046.computer-monitor           133     93   13    27
047.computer-mouse              94     66    9    19
048.conch                      103     72   10    21
049.cormorant                  106     74   11    21
050.covered-wagon               97     68   10    19
051.cowboy-hat                 114     80   11    23
052.crab-101                    85     60    8    17
053.desk-globe                  82     58    8    16
054.diamond-ring               118     82   12    24
055.dice                        98     68   10    20
056.dog                        102     72   10    20
057.dolphin-101                106     74   11    21
058.doorknob                    93     65    9    19
059.drinking-straw              83     58    8    17
060.duck                        87     61    9    17
061.dumb-bell                  102     72   10    20
062.eiffel-tower                83     58    8    17
063.electric-guitar-101        122     86   12    24
064.elephant-101               131     92   13    26
065.elk                        101     71   10    20
066.ewer-101                    83     58    8    17
067.eyeglasses                  83     58    8    17
068.fern                       110     77   11    22
069.fighter-jet                 99     69   10    20
070.fire-extinguisher           84     59    8    17
071.fire-hydrant                99     69   10    20
072.fire-truck                 118     82   12    24
073.fireworks                  100     70   10    20
074.flashlight                 115     80   12    23
075.floppy-disk                 83     58    8    17
076.football-helmet             84     59    8    17
