dataset=food101  classes=101  images=101000  master_seed=1234  ratios={'train': 0.7, 'val': 0.1, 'test': 0.2}
totals: test=20200  val=10100  train_pool=70700
train f25: s0=17675
train f100: s0=70700
skipped non-image files (0): none
assertions passed: class count, disjointness, nesting, existence

class                            n  train  val  test
apple_pie                     1000    700  100   200
baby_back_ribs                1000    700  100   200
baklava                       1000    700  100   200
beef_carpaccio                1000    700  100   200
beef_tartare                  1000    700  100   200
beet_salad                    1000    700  100   200
beignets                      1000    700  100   200
bibimbap                      1000    700  100   200
bread_pudding                 1000    700  100   200
breakfast_burrito             1000    700  100   200
bruschetta                    1000    700  100   200
caesar_salad                  1000    700  100   200
cannoli                       1000    700  100   200
caprese_salad                 1000    700  100   200
carrot_cake                   1000    700  100   200
ceviche                       1000    700  100   200
cheese_plate                  1000    700  100   200
cheesecake                    1000    700  100   200
chicken_curry                 1000    700  100   200
chicken_quesadilla            1000    700  100   200
chicken_wings                 1000    700  100   200
chocolate_cake                1000    700  100   200
chocolate_mousse              1000    700  100   200
churros                       1000    700  100   200
clam_chowder                  1000    700  100   200
club_sandwich                 1000    700  100   200
crab_cakes                    1000    700  100   200
creme_brulee                  1000    700  100   200
croque_madame                 1000    700  100   200
cup_cakes                     1000    700  100   200
deviled_eggs                  1000    700  100   200
donuts                        1000    700  100   200
dumplings                     1000    700  100   200
edamame                       1000    700  100   200
eggs_benedict                 1000    700  100   200
escargots                     1000    700  100   200
falafel                       1000    700  100   200
filet_mignon                  1000    700  100   200
fish_and_chips                1000    700  100   200
foie_gras                     1000    700  100   200
french_fries                  1000    700  100   200
french_onion_soup             1000    700  100   200
french_toast                  1000    700  100   200
fried_calamari                1000    700  100   200
fried_rice                    1000    700  100   200
frozen_yogurt                 1000    700  100   200
garlic_bread                  1000    700  100   200
gnocchi                       1000    700  100   200
greek_salad                   1000    700  100   200
grilled_cheese_sandwich       1000    700  100   200
grilled_salmon                1000    700  100   200
guacamole                     1000    700  100   200
gyoza                         1000    700  100   200
hamburger                     1000    700  100   200
hot_and_sour_soup             1000    700  100   200
hot_dog                       1000    700  100   200
huevos_rancheros              1000    700  100   200
hummus                        1000    700  100   200
ice_cream                     1000    700  100   200
lasagna                       1000    700  100   200
lobster_bisque                1000    700  100   200
lobster_roll_sandwich         1000    700  100   200
macaroni_and_cheese           1000    700  100   200
macarons                      1000    700  100   200
miso_soup                     1000    700  100   200
mussels                       1000    700  100   200
nachos                        1000    700  100   200
omelette                      1000    700  100   200
onion_rings                   1000    700  100   200
oysters                       1000    700  100   200
pad_thai                      1000    700  100   200
paella                        1000    700  100   200
pancakes                      1000    700  100   200
panna_cotta                   1000    700  100   200
peking_duck                   1000    700  100   200
pho                           1000    700  100   200
pizza                         1000    700  100   200
pork_chop                     1000    700  100   200
poutine                       1000    700  100   200
prime_rib                     1000    700  100   200
pulled_pork_sandwich          1000    700  100   200
ramen                         1000    700  100   200
ravioli                       1000    700  100   200
red_velvet_cake               1000    700  100   200
risotto                       1000    700  100   200
samosa                        1000    700  100   200
sashimi                       1000    700  100   200
scallops                      1000    700  100   200
seaweed_salad                 1000    700  100   200
shrimp_and_grits              1000    700  100   200
spaghetti_bolognese           1000    700  100   200
spaghetti_carbonara           1000    700  100   200
spring_rolls                  1000    700  100   200
steak                         1000    700  100   200
strawberry_shortcake          1000    700  100   200
sushi                         1000    700  100   200
tacos                         1000    700  100   200
takoyaki                      1000    700  100   200
tiramisu                      1000    700  100   200
tuna_tartare                  1000    700  100   200
waffles                       1000    700  100   200
