epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.46388,0.03452,5.12623,0.069,0.16863,0.00010060975609756097,36.2,289.3,3101.2
1,4.02258,0.26223,2.04025,0.64995,0.88219,0.00020060975609756095,35.8,292.7,3101.2
2,1.35546,0.74511,0.89774,0.79468,0.93672,0.0003,35.9,292.2,3101.2
3,0.61247,0.86564,0.6801,0.83676,0.95658,0.00029898575366129145,35.8,293.1,3101.2
4,0.35718,0.91923,0.6026,0.8445,0.96096,0.00029595673058697357,35.8,292.7,3101.2
5,0.22707,0.95223,0.5793,0.84887,0.95961,0.0002909538931178862,35.8,293.2,3101.2
6,0.15812,0.9671,0.56268,0.85493,0.96197,0.0002840448960485118,35.9,291.7,3101.2
7,0.11479,0.97645,0.56684,0.86335,0.95793,0.00027532317171194046,35.9,291.8,3101.2
8,0.08779,0.98465,0.56161,0.86234,0.96129,0.00026490666646784665,35.8,292.6,3101.2
9,0.06779,0.98856,0.57115,0.85998,0.96062,0.00025293624568031,35.8,292.7,3101.2
10,0.05476,0.99075,0.5645,0.86436,0.9623,0.00023957378875541792,35.9,292.5,3101.2
11,0.0493,0.99142,0.58158,0.85796,0.95927,0.000225,35.9,291.8,3101.2
12,0.04073,0.9938,0.5854,0.86099,0.95995,0.0002094119649058735,35.8,292.7,3101.2
13,0.03418,0.99447,0.58535,0.85998,0.96062,0.00019302048490666353,35.9,292.0,3101.2
14,0.02785,0.9959,0.57787,0.86503,0.96365,0.00017604722665003956,35.8,293.2,3101.2
15,0.02478,0.99619,0.56883,0.86604,0.9623,0.00015872172433657134,35.9,292.4,3101.2
16,0.0251,0.99495,0.5734,0.86637,0.96298,0.00014127827566342863,35.9,292.1,3101.2
17,0.01845,0.99762,0.55045,0.87243,0.96399,0.00012395277334996044,35.8,293.1,3101.2
18,0.01754,0.99723,0.57335,0.86065,0.96096,0.0001069795150933365,35.7,293.6,3101.2
19,0.01524,0.99743,0.56464,0.86738,0.96028,9.058803509412646e-05,35.8,292.7,3101.2
20,0.0138,0.99895,0.55997,0.86503,0.96163,7.500000000000002e-05,35.8,293.3,3101.2
21,0.01441,0.99847,0.56362,0.86839,0.96298,6.04262112445821e-05,35.8,292.7,3101.2
22,0.01392,0.99762,0.55703,0.87008,0.96264,4.706375431968997e-05,35.7,293.5,3101.2
