epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.01792,0.12091,3.75293,0.40828,0.60485,3.353658536585366e-05,112.7,93.0,3621.4
1,2.22883,0.68103,1.18141,0.81353,0.93941,6.6869918699187e-05,112.5,93.2,3621.4
2,0.66522,0.88729,0.75944,0.84012,0.95624,0.0001,112.6,93.1,3621.4
3,0.27598,0.94784,0.65192,0.85325,0.95793,9.966191788709716e-05,112.3,93.4,3621.4
4,0.1457,0.97502,0.61639,0.85762,0.95759,9.865224352899119e-05,112.0,93.6,3621.4
5,0.10449,0.98064,0.62015,0.8583,0.95557,9.698463103929542e-05,112.1,93.5,3621.4
6,0.06342,0.99046,0.61728,0.86099,0.95557,9.468163201617062e-05,112.6,93.1,3621.4
7,0.05638,0.98942,0.65028,0.84786,0.95422,9.177439057064683e-05,112.1,93.6,3621.4
8,0.06277,0.9877,0.60699,0.85998,0.95658,8.83022221559489e-05,111.9,93.7,3621.4
9,0.05545,0.98818,0.60176,0.86065,0.95927,8.43120818934367e-05,111.7,93.9,3621.4
10,0.03988,0.9917,0.63203,0.85426,0.95456,7.985792958513931e-05,111.8,93.8,3621.4
11,0.03825,0.99132,0.60879,0.86671,0.95523,7.500000000000001e-05,111.7,93.8,3621.4
12,0.02657,0.99495,0.63399,0.85661,0.95624,6.980398830195785e-05,111.7,93.9,3621.4
13,0.03019,0.99371,0.6392,0.85325,0.9522,6.434016163555452e-05,111.8,93.8,3621.4
14,0.0217,0.99561,0.63687,0.86469,0.95422,5.868240888334653e-05,111.8,93.8,3621.4
15,0.01783,0.99685,0.64297,0.86065,0.95624,5.290724144552379e-05,111.8,93.8,3621.4
16,0.01979,0.996,0.60099,0.86133,0.95826,4.709275855447621e-05,111.8,93.8,3621.4
