epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.25543,0.04751,4.28365,0.24403,0.52642,0.00010030674846625767,69.4,300.3,3101.2
1,2.29351,0.60229,0.89777,0.80242,0.94177,0.00020030674846625764,71.1,293.2,3101.2
2,0.72269,0.83569,0.63283,0.84416,0.9586,0.0003,71.7,290.7,3101.2
3,0.42003,0.89917,0.51947,0.86738,0.96567,0.00029898575366129145,72.0,289.6,3101.2
4,0.26842,0.9324,0.48428,0.87883,0.96802,0.00029595673058697357,74.5,280.1,3101.2
5,0.18584,0.95479,0.47908,0.88186,0.96802,0.0002909538931178862,72.6,287.4,3101.2
6,0.1348,0.96783,0.47517,0.8832,0.96836,0.0002840448960485118,72.9,286.0,3101.2
7,0.10671,0.97368,0.48636,0.88455,0.96567,0.00027532317171194046,71.3,292.6,3101.2
8,0.0843,0.98068,0.49726,0.88085,0.96567,0.00026490666646784665,71.2,292.7,3101.2
9,0.06826,0.98423,0.48173,0.89196,0.96668,0.00025293624568031,71.2,292.9,3101.2
10,0.05849,0.98734,0.47428,0.88354,0.96735,0.00023957378875541792,71.2,292.9,3101.2
11,0.05087,0.98845,0.49233,0.88018,0.96533,0.000225,71.1,293.4,3101.2
12,0.04372,0.99027,0.49854,0.88421,0.96499,0.0002094119649058735,71.2,292.9,3101.2
13,0.0392,0.99075,0.48986,0.88118,0.96634,0.00019302048490666353,71.2,293.1,3101.2
14,0.03746,0.99079,0.50971,0.8795,0.96567,0.00017604722665003956,71.1,293.2,3101.2
