epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,3.6855,0.36016,0.98056,0.78156,0.92864,0.03636363636363637,0.0,0.0,152.9
1,0.38494,0.90293,0.70681,0.84079,0.95052,0.0696969696969697,0.0,0.0,152.9
2,0.09059,0.97349,0.76388,0.84517,0.95624,0.1,0.0,0.0,152.9
3,0.02377,0.99342,0.80976,0.84315,0.95389,0.09966191788709716,0.0,0.0,152.9
4,0.01209,0.99704,0.81518,0.83777,0.95456,0.0986522435289912,0.0,0.0,152.9
5,0.00557,0.99895,0.76115,0.84753,0.95456,0.09698463103929543,0.0,0.0,152.9
6,0.00316,0.99962,0.71608,0.85325,0.95725,0.09468163201617062,0.0,0.0,152.9
7,0.00202,1.0,0.67475,0.85459,0.95995,0.09177439057064683,0.0,0.0,152.9
8,0.00186,1.0,0.64732,0.85628,0.96096,0.0883022221559489,0.0,0.0,153.1
9,0.00207,1.0,0.62582,0.85762,0.96096,0.0843120818934367,0.0,0.0,153.1
10,0.00232,1.0,0.60942,0.85796,0.95927,0.07985792958513932,0.0,0.0,153.1
11,0.00265,1.0,0.59398,0.85931,0.96062,0.07500000000000001,0.0,0.0,153.1
12,0.00298,1.0,0.58163,0.86065,0.96028,0.06980398830195784,0.0,0.0,153.1
13,0.00329,1.0,0.57204,0.86133,0.96163,0.06434016163555452,0.0,0.0,153.1
14,0.00358,1.0,0.5664,0.86267,0.9623,0.058682408883346526,0.0,0.0,153.1
15,0.00387,1.0,0.55822,0.86402,0.9623,0.05290724144552379,0.0,0.0,153.1
16,0.00411,1.0,0.55381,0.86537,0.96197,0.04709275855447621,0.0,0.0,153.1
17,0.0043,1.0,0.5516,0.86469,0.9623,0.041317591116653486,0.0,0.0,153.1
18,0.00444,1.0,0.54754,0.8657,0.9623,0.0356598383644455,0.0,0.0,153.1
19,0.00456,1.0,0.54476,0.8657,0.96264,0.03019601169804216,0.0,0.0,153.1
20,0.00465,1.0,0.54211,0.86503,0.96331,0.025000000000000012,0.0,0.0,153.1
21,0.00471,1.0,0.54058,0.86604,0.96331,0.020142070414860703,0.0,0.0,153.1
22,0.00475,1.0,0.53943,0.86705,0.96432,0.015687918106563326,0.0,0.0,153.1
23,0.00477,1.0,0.53841,0.86738,0.96365,0.011697777844051106,0.0,0.0,153.1
24,0.00478,1.0,0.53771,0.86738,0.96331,0.008225609429353187,0.0,0.0,153.1
25,0.00479,1.0,0.53741,0.86772,0.96365,0.005318367983829392,0.0,0.0,153.1
26,0.00478,1.0,0.53732,0.86705,0.96331,0.0030153689607045845,0.0,0.0,153.1
27,0.00478,1.0,0.53723,0.86705,0.96331,0.0013477564710088097,0.0,0.0,153.1
28,0.00478,1.0,0.53719,0.86705,0.96331,0.0003380821129028489,0.0,0.0,153.1
29,0.00477,1.0,0.5372,0.86705,0.96331,0.0,0.0,0.0,153.1
