epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.60688,0.01386,4.57937,0.03634,0.12772,0.0001009009009009009,32.9,214.9,3090.3
1,4.47777,0.10396,4.18197,0.23238,0.50782,0.0002009009009009009,33.0,214.3,3090.3
2,3.36179,0.30905,2.55471,0.4,0.68119,0.0003,33.2,212.7,3090.3
3,2.05407,0.51061,1.89529,0.52396,0.79683,0.0002948888739433602,33.6,210.7,3090.3
4,1.43704,0.6389,1.67198,0.57099,0.82752,0.0002799038105676658,33.5,210.8,3090.3
5,1.08107,0.73041,1.56278,0.59733,0.84178,0.00025606601717798207,33.8,208.9,3090.3
6,0.84001,0.78911,1.46732,0.61822,0.85525,0.000225,33.7,209.9,3090.3
7,0.67737,0.83522,1.44868,0.62861,0.85733,0.0001888228567653781,33.9,208.8,3090.3
8,0.54864,0.86591,1.404,0.6398,0.86564,0.00015,33.6,210.1,3090.3
9,0.46484,0.88982,1.40455,0.64,0.86614,0.00011117714323462186,33.7,209.7,3090.3
10,0.39451,0.91259,1.40273,0.64168,0.86545,7.500000000000002e-05,33.9,208.8,3090.3
11,0.35143,0.92334,1.39907,0.64386,0.86792,4.3933982822017876e-05,33.9,208.3,3090.3
12,0.33129,0.93083,1.39841,0.64366,0.86723,2.009618943233419e-05,33.9,208.3,3090.3
13,0.31359,0.9396,1.39906,0.64228,0.86663,5.11112605663977e-06,33.9,208.7,3090.3
14,0.31151,0.93479,1.39823,0.64228,0.86782,0.0,33.9,208.8,3090.3
