epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,4.50332,0.23426,2.39155,0.67149,0.8519,3.3435582822085895e-05,224.0,93.1,3621.4
1,1.19035,0.81052,0.71573,0.85022,0.96062,6.676891615541922e-05,223.1,93.5,3621.4
2,0.43144,0.90814,0.62483,0.85291,0.96096,0.0001,222.6,93.7,3621.4
3,0.24804,0.94251,0.53304,0.87513,0.96567,9.698463103929542e-05,226.1,92.2,3621.4
4,0.14448,0.96567,0.53796,0.87445,0.96634,8.83022221559489e-05,226.2,92.2,3621.4
5,0.08572,0.98188,0.51169,0.87715,0.96533,7.500000000000001e-05,222.6,93.7,3621.4
6,0.06426,0.9848,0.50346,0.88018,0.96735,5.868240888334653e-05,222.1,93.9,3621.4
7,0.03564,0.99266,0.4784,0.8859,0.97038,4.131759111665349e-05,222.4,93.8,3621.4
8,0.02201,0.99573,0.46547,0.89465,0.9687,2.500000000000001e-05,222.4,93.8,3621.4
9,0.0172,0.99684,0.44952,0.89936,0.96769,1.1697777844051105e-05,222.1,93.9,3621.4
10,0.01473,0.99732,0.44838,0.90037,0.97072,3.0153689607045845e-06,221.9,94.0,3621.4
11,0.01255,0.99789,0.44845,0.89936,0.97072,0.0,222.0,93.9,3621.4
