epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.63925,0.01685,5.25496,0.07607,0.13531,3.428571428571429e-05,24.2,90.6,3621.4
1,4.61623,0.16758,4.1771,0.2898,0.4554,6.761904761904763e-05,23.7,92.6,3621.4
2,3.04633,0.65301,2.8971,0.59643,0.78256,0.0001,23.7,92.8,3621.4
3,1.40701,0.92304,1.95033,0.71929,0.88186,9.829629131445342e-05,23.7,92.6,3621.4
4,0.52768,0.98679,1.57145,0.75968,0.90407,9.330127018922194e-05,23.7,92.6,3621.4
5,0.21239,0.99863,1.40159,0.77011,0.90811,8.535533905932738e-05,23.7,92.8,3621.4
6,0.11648,1.0,1.32726,0.77314,0.91181,7.500000000000001e-05,23.6,92.9,3621.4
7,0.07374,1.0,1.27552,0.77785,0.91552,6.294095225512603e-05,23.6,93.1,3621.4
8,0.06082,0.99954,1.23944,0.78021,0.91922,5e-05,23.6,92.9,3621.4
9,0.04774,1.0,1.22786,0.77853,0.92191,3.705904774487396e-05,23.7,92.8,3621.4
10,0.04289,0.99909,1.21863,0.78021,0.91787,2.500000000000001e-05,23.6,92.9,3621.4
11,0.03769,1.0,1.2064,0.78055,0.9172,1.4644660940672627e-05,23.7,92.8,3621.4
12,0.03746,1.0,1.20219,0.78189,0.91888,6.698729810778065e-06,23.6,92.9,3621.4
13,0.03493,1.0,1.20232,0.78088,0.91855,1.70370868554659e-06,23.7,92.7,3621.4
14,0.03515,1.0,1.20172,0.78189,0.91855,0.0,23.7,92.6,3621.4
