epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,5.82082,0.00182,5.60153,0.00673,0.03164,0.0004444444444444444,0.0,0.0,47.5
1,5.4783,0.01184,5.0628,0.08583,0.2033,0.0007777777777777778,0.0,0.0,47.5
2,4.79013,0.15255,4.25107,0.33019,0.50084,0.001,0.0,0.0,47.5
3,3.82019,0.46038,3.42277,0.517,0.69472,0.0009966191788709714,0.0,0.0,47.5
4,2.88822,0.67577,2.74873,0.59576,0.78156,0.0009865224352899118,0.0,0.0,47.5
5,2.13735,0.77322,2.25772,0.64187,0.82969,0.0009698463103929542,0.0,0.0,47.5
6,1.59845,0.82332,1.91918,0.67385,0.85527,0.0009468163201617061,0.0,0.0,47.5
7,1.22537,0.85792,1.68623,0.69875,0.87176,0.0009177439057064682,0.0,0.0,47.5
8,0.96352,0.88889,1.52262,0.71222,0.88388,0.000883022221559489,0.0,0.0,47.5
9,0.77734,0.9112,1.40494,0.73006,0.8896,0.0008431208189343669,0.0,0.0,47.5
10,0.6391,0.92805,1.31919,0.73915,0.89633,0.0007985792958513931,0.0,0.0,47.5
11,0.53514,0.9449,1.25594,0.74689,0.90138,0.00075,0.0,0.0,47.5
12,0.45592,0.9531,1.20882,0.75362,0.90475,0.0006980398830195785,0.0,0.0,47.5
13,0.39417,0.96357,1.17314,0.75732,0.90845,0.0006434016163555452,0.0,0.0,47.5
14,0.34663,0.96858,1.14623,0.75799,0.91114,0.0005868240888334653,0.0,0.0,47.5
15,0.30949,0.97404,1.12603,0.759,0.9135,0.0005290724144552379,0.0,0.0,47.5
16,0.28067,0.97632,1.11079,0.76271,0.91383,0.0004709275855447621,0.0,0.0,47.5
17,0.25815,0.97951,1.09922,0.76473,0.91417,0.00041317591116653486,0.0,0.0,47.5
18,0.24017,0.98042,1.09049,0.76574,0.9135,0.00035659838364445503,0.0,0.0,47.5
19,0.22576,0.9827,1.0836,0.76607,0.91316,0.0003019601169804216,0.0,0.0,47.5
20,0.21439,0.98543,1.07823,0.76742,0.91383,0.0002500000000000001,0.0,0.0,47.5
21,0.20551,0.98634,1.07429,0.76708,0.91383,0.00020142070414860702,0.0,0.0,47.5
22,0.19885,0.98725,1.07144,0.76775,0.91383,0.00015687918106563326,0.0,0.0,47.5
23,0.19375,0.98907,1.06939,0.76742,0.9135,0.00011697777844051105,0.0,0.0,47.5
24,0.1901,0.98953,1.06785,0.76775,0.91383,8.225609429353187e-05,0.0,0.0,47.5
25,0.1875,0.99089,1.06678,0.76742,0.91417,5.318367983829392e-05,0.0,0.0,47.5
26,0.18576,0.99089,1.06608,0.76775,0.91417,3.0153689607045842e-05,0.0,0.0,47.5
27,0.18468,0.99089,1.06572,0.76775,0.91417,1.3477564710088097e-05,0.0,0.0,47.5
28,0.18414,0.99044,1.06559,0.76775,0.91417,3.3808211290284885e-06,0.0,0.0,47.5
29,0.18393,0.99044,1.06557,0.76775,0.91417,0.0,0.0,0.0,47.5
