epoch,train_loss,train_top1,val_loss,val_top1,val_top5,lr,epoch_time_s,imgs_per_sec,peak_vram_mb
0,3.89519,0.18744,2.3934,0.4997,0.76347,3.3453670276774974e-05,192.3,91.9,3619.6
1,1.63812,0.63117,1.24643,0.69802,0.89594,6.678700361010832e-05,191.7,92.2,3619.6
2,0.96683,0.75485,1.13343,0.70198,0.90109,0.0001,191.4,92.3,3619.6
3,0.61412,0.83859,0.99247,0.73891,0.92069,9.829629131445342e-05,191.6,92.2,3619.6
4,0.34607,0.90999,0.98844,0.74257,0.9203,9.330127018922194e-05,191.7,92.2,3619.6
5,0.19876,0.94948,0.96386,0.75861,0.92366,8.535533905932738e-05,191.6,92.3,3619.6
6,0.10513,0.97471,0.99115,0.75614,0.92089,7.500000000000001e-05,191.3,92.4,3619.6
7,0.07102,0.98393,0.95096,0.77139,0.92535,6.294095225512603e-05,191.5,92.3,3619.6
8,0.03694,0.99327,0.93482,0.77475,0.92941,5e-05,191.2,92.5,3619.6
9,0.02345,0.99587,0.93004,0.78079,0.92891,3.705904774487396e-05,191.4,92.3,3619.6
10,0.01498,0.99808,0.90897,0.78574,0.93139,2.500000000000001e-05,191.5,92.3,3619.6
11,0.01273,0.99779,0.90625,0.78525,0.93455,1.4644660940672627e-05,191.1,92.5,3619.6
12,0.00821,0.99926,0.90284,0.7903,0.93248,6.698729810778065e-06,191.0,92.5,3619.6
13,0.00734,0.99909,0.89935,0.7896,0.93168,1.70370868554659e-06,190.9,92.6,3619.6
14,0.00745,0.99926,0.89892,0.79,0.93158,0.0,190.6,92.7,3619.6
