dataset,fraction,seed,regime,model_a,model_b,n,acc_a,acc_b,both_correct,only_a,only_b,both_wrong,agreement,kappa,same_wrong_pred,oracle_top1
caltech256,10,0,fullft,resnet50,vit_b16,5952,0.765625,0.7758736559139785,0.6953965053763441,0.07022849462365591,0.0804771505376344,0.1538978494623656,0.8492943548387096,0.57360587064381,0.3962882096069869,0.8461021505376344
food101,10,0,fullft,resnet50,vit_b16,20200,0.6485148514851485,0.7208910891089109,0.5822277227722772,0.06628712871287129,0.13866336633663368,0.21282178217821782,0.7950495049504951,0.5281864957573571,0.3603163526401489,0.7871782178217822
caltech256,10,1,fullft,resnet50,vit_b16,5952,0.7595766129032258,0.7810819892473119,0.693380376344086,0.06619623655913978,0.08770161290322581,0.15272177419354838,0.8461021505376344,0.56535286332086,0.3696369636963696,0.8472782258064516
caltech256,10,2,fullft,resnet50,vit_b16,5952,0.7602486559139785,0.7869623655913979,0.6940524193548387,0.06619623655913978,0.09290994623655914,0.14684139784946237,0.8408938172043011,0.54623657437492,0.39473684210526316,0.8531586021505376
caltech256,25,0,fullft,resnet50,vit_b16,5952,0.8377016129032258,0.8533266129032258,0.7901545698924731,0.04754704301075269,0.06317204301075269,0.0991263440860215,0.8892809139784946,0.576376603666969,0.47627118644067795,0.9008736559139785
food101,25,0,fullft,resnet50,vit_b16,20200,0.7341584158415841,0.7828217821782179,0.6744554455445545,0.0597029702970297,0.10836633663366337,0.15747524752475248,0.8319306930693069,0.5427305160552736,0.3964162213140522,0.8425247524752475
caltech256,25,1,fullft,resnet50,vit_b16,5952,0.8279569892473119,0.8499663978494624,0.7794018817204301,0.04855510752688172,0.07056451612903226,0.10147849462365591,0.880880376344086,0.5595537891185999,0.44039735099337746,0.8985215053763441
caltech256,25,2,fullft,resnet50,vit_b16,5952,0.8301411290322581,0.8523185483870968,0.7829301075268817,0.047211021505376344,0.06938844086021505,0.10047043010752688,0.8834005376344086,0.5639027350463083,0.4665551839464883,0.8995295698924731
caltech256,50,0,fullft,resnet50,vit_b16,5952,0.8667674731182796,0.8756720430107527,0.8217405913978495,0.04502688172043011,0.053931451612903226,0.0793010752688172,0.9010416666666666,0.5590709636392722,0.4491525423728814,0.9206989247311828
caltech256,50,1,fullft,resnet50,vit_b16,5952,0.8677755376344086,0.8771841397849462,0.8249327956989247,0.04284274193548387,0.05225134408602151,0.07997311827956989,0.9049059139784946,0.572729525697244,0.42857142857142855,0.9200268817204301
caltech256,50,2,fullft,resnet50,vit_b16,5952,0.8649193548387096,0.8728158602150538,0.8178763440860215,0.04704301075268817,0.05493951612903226,0.08014112903225806,0.8980174731182796,0.5525208897502745,0.4570230607966457,0.9198588709677419
caltech256,100,0,fullft,resnet50,vit_b16,5952,0.8884408602150538,0.8953293010752689,0.8466061827956989,0.041834677419354836,0.04872311827956989,0.06283602150537634,0.9094422043010753,0.5304867054594841,0.4732620320855615,0.9371639784946236
food101,100,0,fullft,resnet50,vit_b16,20200,0.8254950495049505,0.8465346534653465,0.7741584158415842,0.051336633663366334,0.07237623762376237,0.10212871287128712,0.8762871287128713,0.5491667410913639,0.4575860397479399,0.8978712871287129
caltech256,100,1,fullft,resnet50,vit_b16,5952,0.8892809139784946,0.8939852150537635,0.8487903225806451,0.04049059139784946,0.04519489247311828,0.0655241935483871,0.9143145161290323,0.5566268044826915,0.4358974358974359,0.9344758064516129
caltech256,100,2,fullft,resnet50,vit_b16,5952,0.8882728494623656,0.899361559139785,0.8531586021505376,0.035114247311827954,0.04620295698924731,0.0655241935483871,0.9186827956989247,0.5717385958971007,0.4307692307692308,0.9344758064516129
caltech256,10,0,linprobe,resnet50,vit_b16,5952,0.7511760752688172,0.7674731182795699,0.6644825268817204,0.08669354838709678,0.10299059139784947,0.14583333333333334,0.8103158602150538,0.48121897261128466,0.2926267281105991,0.8541666666666666
caltech256,10,1,linprobe,resnet50,vit_b16,5952,0.7404233870967742,0.7619287634408602,0.6544018817204301,0.08602150537634409,0.10752688172043011,0.1520497311827957,0.8064516129032258,0.4825634387102117,0.30939226519337015,0.8479502688172043
caltech256,10,2,linprobe,resnet50,vit_b16,5952,0.7385752688172043,0.7683131720430108,0.6564180107526881,0.08215725806451613,0.11189516129032258,0.14952956989247312,0.8059475806451613,0.47831756625904776,0.3112359550561798,0.8504704301075269
caltech256,25,0,linprobe,resnet50,vit_b16,5952,0.828125,0.8118279569892473,0.7471438172043011,0.08098118279569892,0.06468413978494623,0.10719086021505377,0.8543346774193549,0.5068259385665531,0.34796238244514105,0.8928091397849462
caltech256,25,1,linprobe,resnet50,vit_b16,5952,0.8165322580645161,0.8138440860215054,0.7405913978494624,0.07594086021505377,0.07325268817204302,0.11021505376344086,0.8508064516129032,0.5048609175037999,0.36128048780487804,0.8897849462365591
caltech256,25,2,linprobe,resnet50,vit_b16,5952,0.8214045698924731,0.8153561827956989,0.7456317204301075,0.0757728494623656,0.06972446236559139,0.10887096774193548,0.854502688172043,0.5105816222375198,0.3966049382716049,0.8911290322580645
caltech256,50,0,linprobe,resnet50,vit_b16,5952,0.8563508064516129,0.839885752688172,0.7849462365591398,0.07140456989247312,0.05493951612903226,0.08870967741935484,0.8736559139784946,0.509843744558722,0.39015151515151514,0.9112903225806451
